Provinces.Code,Provinces.Name,Year,NE.GDI.STKB.SNA08.CR,NE.GDI.EXPT.SNA08.CR,NE.GDI.CON.GOVT.SNA08.CR,NE.GDI.FTOT.SNA08.CR,NE.GDI.IMPT.SNA08.CR,NE.GDI.INEX.SNA08.CR,NE.GDI.CON.NPI.SNA08.CR,NE.GDI.CON.PRVT.SNA08.CR,NA.GDP.ACC.FB.SNA08.CR,NA.GDP.AGR.SNA08.CR,NA.GDP.BUSS.SNA08.CR,NA.GDP.CNST.SNA08.CR,NA.GDP.EDUS.SNA08.CR,NA.GDP.ELEC.GAS.SNA08.CR,NA.GDP.FINS.SNA08.CR,NA.GDP.HLTH.SOCW.SNA08.CR,NA.GDP.INF.COMM.SNA08.CR,NA.GDP.MNF.SNA08.CR,NA.GDP.MINQ.SNA08.CR,NA.GDP.SRV.OTHR.SNA08.CR,NA.GDP.PADM.DEF.SNA08.CR,NA.GDP.REST.SNA08.CR,NA.GDP.TRAN.STOR.SNA08.CR,NA.GDP.WTR.WST.SNA08.CR,NA.GDP.TRD.SNA08.CR,IDX.HDI.REV,SL.EMP.AGR.FRST.FSH,SL.EMP.CNST,SL.EMP.ELC,SL.EMP.FINS,SL.EMP.IND,SL.EMP.MINQ,SL.EMP.SOCL,SL.EMP.TRAD,SL.EMP.TRAN,SL.TLF,SI.POV.BPL,SI.POV.NAPR.ZS,NE.GDI.TOTL.SNA08.CR,Population,Jokowi.Vote,Prabowo.Vote
ID.GO,"Gorontalo, Prop.",2017,787446.45,76163.15,7800931.59,10309595.84,135334.56,-5760279.242,246465.83,21222572.37,815606.7672,13130023.31,33451.91076,3978864.948,1442742.26,15798.61587,1493396.781,1217051.479,921965.4064,1413091.375,399979.4987,540402.8284,2427466.579,661579.574,2093037.283,19934.61641,3943168.193,67.01,173899,36019,2423,9383,41673,12252,111233,99170,38264,547766,205370,17.65,34547561.43,1168200,51.72,48.28
ID.JA,"Jambi, Prop.",2017,988599.8041,34803757.58,15156694.27,42661946.78,1365508.299,12800949.54,950361.9877,85101910.36,2293922.91,56199421.23,2296950.139,13307998.99,6309033.749,121088.7497,4676212.588,2091757.634,7394248.23,19638552.1,33741825.1,1834905.608,8563088.318,2968967.106,6231195.549,265026.4132,23164517.61,69.99,805086,84386,5639,24802,74317,34537,273880,293101,62069,1724633,286550,8.19,191098712,3515000,41.68,58.32
ID.JR,"Jawa Barat, Prop.",2017,68968719.02,395218647.1,108388220.2,449337046.8,196720185.7,-224186599.4,10545720.35,1174540809,48395131.81,153693121.8,7339111.19,147554690.7,51393975.37,10855233.28,50121391.69,13472969.02,51845066.83,755387256,25481689.61,36816024.21,40220226.1,18659369.94,103491293.5,1588061.372,269777764.6,70.69,3082506,1542800,79306,843532,4185500,135123,3504281,5943425,1235102,22391003,4168440,8.71,1786092377,48037600,40.07,59.93
ID.JT,"Jawa Tengah, Prop.",2017,11675978.75,109892853,93714397.36,366766466.2,178896538,49996232.81,13193406.66,720706017.9,38018637.91,167246888.5,4465105.77,122936709.2,52021560.6,1128081.56,35219062.58,10359902.3,39125734.83,414988825.6,30022899.03,18436729.18,33086004.97,19836974.59,38027794.34,711016.74,161416887.1,70.52,4323993,1493314,47987,419244,3563275,120541,2479523,4125776,613021,18010612,4450720,13.01,1187048815,34257900,77.28,22.72
ID.JI,"Jawa Timur, Prop.",2017,25943943.62,284943734.8,112896169.7,568532980.4,353173693.2,162489451.3,23402022.1,1194165047,116058304.7,258428125.3,16255926.3,197698975.3,52974117.8,6675156.5,55033092.6,12611730.5,92928657.6,586258573.7,80846176.3,27395134.23,45740719.7,32080244.5,69176354.3,1853132.2,367185234.7,70.27,6713893,1423169,55908,503394,3016837,158435,2947210,4580393,699981,20937716,4617010,11.77,2019199656,39293000,65.78,34.22
ID.KB,"Kalimantan Barat, Prop.",2017,731363.439,14130258.85,20593759.26,59823307.02,10313262.64,-5973939.7,2046937.829,96507670.03,4103381.073,36018384.12,782984.7938,22712980.68,7122919.228,180846.8589,6546737.225,2480086.518,6615265.483,28769264.24,9582723.216,1737715.755,12311847.07,5107789.618,8105868.689,205104.9475,25084694.55,66.26,1192196,144758,9612,41164,127325,35799,323228,362134,66982,2408259,387430,7.88,177546094.1,4932500,57.5,42.5
ID.KS,"Kalimantan Selatan, Prop.",2017,359120.3113,103403442.9,19766449.77,37083853.65,20353571.57,-56870029.67,1567294.397,74637291.49,3143536.274,23291701.25,1053373.87,12777199.13,7309943.366,206910.3557,5738713.606,3078924.325,5535375.123,22958819.97,33117789.33,1941256.779,9485821.333,3524629.593,10338601.11,645162.4421,15446093.39,69.65,672550,95361,8335,46542,157649,78042,345472,475064,96146,2074117,193920,4.73,159593851.2,4119800,35.92,64.08
ID.KT,"Kalimantan Tengah, Prop.",2017,1436556.837,24121194.95,17600798.98,55934327.53,1159996.246,-25561695.27,1654516.59,,2407638.946,26121331.91,48483.53748,12344271.44,5777338.292,98174.00991,4133658.676,2386017.747,1208402.135,21038411.05,14432984.63,1292811.641,7819788.888,2679310.796,8854301.693,114563.4095,15418578.36,69.79,490488,78512,4473,20288,53360,77539,218415,240396,39236,1276669,139160,5.37,74025703.36,2605300,60.73,39.27
ID.KI,"Kalimantan Timur, Prop.",2017,1757926.22,240954921,20862788.97,155808229.6,69188554.16,142393061.9,2629573.96,97284575.47,5489501.109,47145758.14,1215392.083,47802418.06,9181817.678,280204.2817,9052238.767,3506038.883,7440259.589,112988763.4,274361569,3679935.524,12051965.78,5218431.373,21437051.45,275207.31,31375970.53,75.12,328448,83247,6601,66583,96378,125663,356745,388637,88373,1654964,220170,6.19,592502522.9,3575400,55.71,44.29
ID.KU,"Kalimantan Utara, Prop.",2017,365231.4973,13886789.73,6094828.227,26141322.79,1341250.648,17913525.99,615162.6546,13730850.94,1203385.257,12634517.12,190533.2487,9640906.452,1922455.171,41169.44834,884411.8731,795767.0285,1752517.873,7728306.149,21195320.52,511298.4033,4044158.407,608950.7902,5411394.637,48575.27873,8792793.519,69.84,83407,18266,1925,9752,23877,8879,81992,66586,17732,330731,49470,7.22,77406461.18,691100,70.04,29.96
